id,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
2003,34,2,9,8,37.9,1.91,0.1809725,0.5429175,0
4508,54,1,29,24,156.8,18.44,13.47388672,15.44003328,1
1181,28,1,11,5,27.7,9.94,0.91412216,1.83925784,1
1282,24,1,7,3,25.0,7.27,0.3507775,1.4667225,0
3538,35,1,5,16,16.5,24.36,1.6238376,2.3955624,0
3792,43,1,1,24,16.9,4.6,0.1391546,0.6382454,0
104,41,3,2,0,49.9,26.33,6.52991899,6.60875101,1
3532,44,1,12,4,36.0,18.01,2.1460716,4.3375284,0
3374,25,1,4,2,21.0,1.78,0.1394274,0.2343726,0
2620,30,1,0,3,22.7,5.46,0.44990946,0.78951054,0
1741,45,1,2,6,15.4,24.45,1.7245074,2.0407926,1
4564,37,1,5,8,23.0,3.58,0.2396094,0.5837906,0
2120,25,2,1,6,22.1,7.14,0.23826894,1.33967106,0
360,29,1,1,1,16.1,5.51,0.13395361,0.75315639,1
287,27,2,8,7,23.2,11.93,0.51757112,2.25018888,0
3798,46,2,10,24,58.1,16.47,4.36349592,5.20557408,0
4232,30,1,5,9,45.2,17.91,3.9667068,4.1286132,1
3687,42,4,3,21,26.4,1.99,0.29577768,0.22958232,0
3801,31,2,12,9,24.2,12.76,1.73849896,1.34942104,0
333,25,1,9,4,34.7,1.26,0.1333521,0.3038679,0
2517,35,2,12,9,41.6,12.86,2.7016288,2.6481312,0
2622,39,2,19,4,80.5,2.77,0.624358,1.605492,0
3755,38,1,0,18,36.6,19.78,3.23604756,4.00343244,1
4285,26,1,0,5,24.6,4.39,0.50325204,0.57668796,0
4617,29,1,8,10,22.4,5.26,0.62918016,0.54905984,0
4866,31,4,6,5,35.9,13.1,0.846522,3.856378,0
4205,24,1,4,3,15.7,1.34,0.10077202,0.10960798,0
2897,22,1,1,2,14.1,7.33,0.13745949,0.89607051,0
772,41,1,14,0,56.2,22.68,3.16104768,9.58511232,0
2168,40,1,17,4,42.1,21.21,1.02688215,7.90252785,1
3362,43,1,22,22,106.8,4.08,1.08936,3.26808,0
2618,27,4,0,1,39.1,4.97,0.70735028,1.23591972,0
3770,36,4,11,3,64.2,3.1,1.0826688,0.9075312,0
2084,34,2,5,14,33.6,6.83,1.204812,1.090068,0
4303,50,3,12,7,37.1,22.0,1.79564,6.36636,1
4522,27,1,2,2,21.9,19.26,1.84745772,2.37048228,1
4270,41,1,4,22,19.7,2.14,0.03709904,0.38448096,0
2904,51,3,21,18,157.2,22.61,21.75226704,13.79065296,1
4740,49,5,5,13,24.9,8.21,0.63168561,1.41260439,0
4492,35,1,14,10,38.7,8.95,1.81148895,1.65216105,0
1596,27,1,8,7,17.3,7.84,0.21294224,1.14337776,0
107,43,1,15,9,45.3,13.43,0.64488174,5.43890826,0
54,34,1,2,11,29.1,5.58,0.76480038,0.85897962,0
4292,45,2,17,20,160.5,11.58,2.4719247,16.1139753,0
4725,24,1,3,2,27.3,4.59,0.52503633,0.72803367,0
4839,35,1,5,12,31.7,6.91,1.14780628,1.04266372,0
4436,35,1,6,1,29.3,4.73,0.7760984,0.6097916,1
1774,41,2,15,20,82.1,5.19,1.09081344,3.17017656,0
1309,27,3,5,0,31.3,6.32,0.01186896,1.96629104,0
1304,36,3,13,15,206.5,1.5,0.848715,2.248785,0
1523,24,1,2,1,17.4,13.5,0.77517,1.57383,1
4521,26,1,1,5,18.6,27.82,1.65067188,3.52384812,1
515,38,2,13,0,45.3,7.45,0.6277221,2.7471279,1
606,46,2,7,19,31.2,3.18,0.03770208,0.95445792,0
3212,52,1,17,28,49.2,5.95,1.0450818,1.8823182,0
64,49,1,5,15,47.2,6.63,1.44263496,1.68672504,0
3154,43,1,9,13,35.2,9.05,0.684904,2.500696,0
4009,48,2,25,16,334.9,6.56,17.81721584,4.15222416,1
3443,22,2,1,3,21.2,22.81,2.34048848,2.49523152,1
743,48,1,12,20,39.8,19.25,2.129897,5.531603,0
1753,25,1,5,1,31.4,22.38,3.31689504,3.71042496,1
1848,46,2,26,1,76.3,3.65,0.38153815,2.40341185,0
4271,41,1,5,5,41.8,20.56,1.68443968,6.90964032,1
544,42,1,21,1,105.5,31.1,15.3225035,17.4879965,1
456,27,1,7,2,21.8,30.15,1.3868397,5.1858603,1
3861,27,2,0,3,22.6,8.26,1.11632248,0.75043752,0
212,23,1,6,2,22.7,17.37,1.03700637,2.90598363,1
3922,53,1,20,0,73.4,32.92,3.31036936,20.85291064,1
19,51,1,35,7,134.7,14.75,2.861028,17.007222,0
1230,29,1,7,3,19.8,14.26,1.34962344,1.47385656,0
2433,31,2,0,0,43.0,8.87,2.0557999,1.7583001,0
