id,age,ed,employ,address,income,debtinc,creddebt,othdebt
1193,29,1,7,2,21.1,15.59,1.44079662,1.84869338
583,45,1,23,8,100.9,3.77,2.72361388,1.08031612
4972,47,1,7,13,62.8,21.9,6.9316128,6.8215872
4014,36,1,6,5,34.4,8.03,1.46955424,1.29276576
600,41,2,13,10,71.9,2.01,0.58241157,0.86277843
3453,28,1,11,7,49.1,13.44,3.71525952,2.88378048
4271,41,1,5,5,41.8,20.56,1.68443968,6.90964032
2319,44,1,24,18,113.1,6.62,0.60646482,6.88075518
4970,36,1,19,15,60.0,12.01,0.54045,6.66555
4673,35,1,9,14,42.6,6.63,0.72304128,2.10133872
3613,35,1,15,11,84.9,9.98,3.0502872,5.4227328
722,47,1,21,22,53.6,3.61,0.29798384,1.63697616
3446,26,4,1,0,59.2,20.26,0.5397264,11.4541936
2355,36,1,0,8,24.4,21.51,2.5717356,2.6767044
931,39,1,1,7,28.1,5.03,0.91731607,0.49611393
535,30,2,0,6,24.0,11.63,1.5044568,1.2867432
4540,29,2,0,0,21.5,14.84,1.2570964,1.9335036
4093,25,1,3,5,29.7,12.09,0.2872584,3.3034716
224,39,1,9,9,43.6,10.2,2.4192768,2.0279232
4051,35,3,13,6,48.3,6.82,1.3670349,1.9270251
1569,31,1,14,11,50.3,6.45,0.84677535,2.39757465
2427,31,1,12,2,38.7,7.75,1.0377405,1.9615095
4900,31,5,4,6,35.7,8.46,1.0721781,1.9480419
11,26,1,1,2,22.2,7.27,0.5810184,1.0329216
62,32,1,16,4,38.4,14.38,1.50196224,4.01995776
2004,42,1,5,9,22.9,2.67,0.27392064,0.33750936
1437,31,1,1,12,33.3,16.97,2.00045754,3.65055246
4809,31,1,14,3,25.5,14.87,0.682533,3.109317
2405,29,1,12,1,93.4,3.15,1.6564023,1.2856977
1546,47,1,23,9,100.2,6.99,0.98756118,6.01641882
1104,45,1,4,11,36.5,6.87,0.7322046,1.7753454
2764,47,2,12,26,24.3,8.42,0.41330412,1.63275588
1153,48,3,1,16,32.0,5.8,1.00224,0.85376
1567,31,1,6,3,26.6,2.45,0.2372188,0.4144812
2423,27,1,10,0,41.7,0.72,0.06335064,0.23688936
2077,21,1,1,0,22.9,11.27,0.45164525,2.12918475
3397,36,1,18,10,71.6,11.71,3.79811508,4.58624492
3805,43,1,25,7,111.9,25.67,7.06628358,21.65844642
2185,33,1,16,1,37.3,6.29,0.38477188,1.96139812
726,43,2,16,12,63.2,3.01,0.8275092,1.0748108
259,32,1,7,2,27.4,16.19,2.73704902,1.69901098
1801,26,1,0,7,16.2,11.8,0.4798116,1.4317884
844,23,1,4,3,18.8,9.29,0.98503728,0.76148272
1123,42,1,19,11,54.0,24.34,1.6298064,11.5137936
2648,37,1,5,16,26.9,22.56,1.81452336,4.25411664
2049,24,2,1,5,30.6,6.63,1.13814558,0.89063442
1221,38,2,19,9,34.3,18.71,3.72858493,2.68894507
1922,31,1,0,2,19.8,10.47,0.6841098,1.3889502
1857,32,1,5,11,24.2,13.31,0.94375886,2.27726114
4604,23,2,0,1,17.8,8.73,0.47239776,1.08154224
1909,30,1,9,2,20.6,6.06,0.59796444,0.65039556
3375,27,2,5,1,43.9,11.57,1.43234286,3.64688714
202,31,4,0,10,27.8,13.52,0.28565056,3.47290944
3755,38,1,0,18,36.6,19.78,3.23604756,4.00343244
1213,40,3,5,5,63.6,20.12,5.96308512,6.83323488
3342,32,1,13,1,30.8,19.05,3.579114,2.288286
3382,43,1,19,2,90.6,10.03,2.56258476,6.52459524
437,30,1,7,5,22.5,15.09,0.4821255,2.9131245
3733,51,1,30,11,55.6,6.31,0.67360512,2.83475488
3426,39,1,5,0,33.5,7.29,1.55076525,0.89138475
2961,27,3,6,5,28.6,4.21,0.74290502,0.46115498
1564,42,1,7,19,30.5,7.51,1.2598025,1.0307475
3248,38,1,20,13,67.4,3.72,0.59923992,1.90804008
1786,52,1,11,2,59.4,0.22,0.00705672,0.12362328
2604,44,1,9,15,34.7,12.15,1.97732745,2.23872255
454,32,1,10,0,22.4,6.85,0.514024,1.020376
2500,27,3,3,3,21.9,13.98,0.87562332,2.18599668
1692,43,1,13,10,34.8,3.28,0.0970224,1.0444176
4803,25,1,9,1,27.5,18.06,1.211826,3.754674
4184,35,1,2,10,21.9,6.43,0.6195948,0.7885752
1107,32,4,2,2,42.7,12.44,3.14994484,2.16193516
900,31,1,11,10,25.3,8.63,0.6331831,1.5502069
4655,41,1,7,15,34.4,13.62,0.1639848,4.5212952
27,28,1,0,0,20.4,0.99,0.07512912,0.12683088
4891,56,2,36,27,270.3,19.0,25.986642,25.370358
3970,33,1,10,1,17.5,4.86,0.105462,0.745038
4791,30,1,8,8,27.3,4.81,0.70252455,0.61060545
541,36,1,2,10,47.0,36.56,7.216944,9.966256
1203,34,1,10,15,31.2,16.61,1.66352472,3.51879528
4188,41,2,19,11,72.6,15.91,5.29020228,6.26045772
3578,24,1,5,1,20.0,5.74,0.277816,0.870184
2602,40,1,16,9,43.4,10.87,0.93879842,3.77878158
2824,31,3,1,3,16.3,11.07,0.52508331,1.27932669
495,46,2,28,4,221.3,16.12,18.08649492,17.58706508
1976,41,1,3,16,30.9,5.93,0.96016188,0.87220812
3048,23,1,1,0,27.1,10.09,0.79023871,1.94415129
1610,28,1,12,8,24.8,7.24,0.66793344,1.12758656
4561,37,1,13,11,27.7,8.76,1.29333516,1.13318484
3540,54,2,5,13,25.7,3.23,0.25484377,0.57526623
2310,34,1,18,0,48.5,16.58,3.4095112,4.6317888
2373,38,1,5,1,22.4,1.26,0.01467648,0.26756352
2954,38,2,0,16,20.5,8.98,0.7934279,1.0474721
2476,31,1,15,12,32.9,20.64,3.55146288,3.23909712
417,34,1,16,13,45.2,18.32,2.64152416,5.63911584
4629,36,1,10,17,55.2,10.4,0.7922304,4.9485696
1554,38,2,18,11,72.5,3.07,0.17806,2.04769
3454,32,1,5,1,32.9,27.48,2.73035784,6.31056216
3735,42,2,21,20,83.2,12.12,6.43348992,3.65035008
89,26,4,1,1,26.0,10.5,0.33033,2.39967
829,42,3,7,4,46.1,18.6,0.42873,8.14587
1392,30,4,5,5,21.6,7.33,0.68556024,0.89771976
2284,37,2,12,8,50.2,1.13,0.35907558,0.20818442
2650,42,3,14,3,70.0,10.61,4.805269,2.621731
1938,38,1,3,6,32.7,19.44,2.31390432,4.04297568
4844,32,1,1,1,17.9,3.69,0.12483639,0.53567361
